zm_r,vb
1.490102503,1
1.396134195,1
0.866434845,1
1.361773179,1
0.887039807,1
0.874878346,1
1.185580755,1
1.914782979,1
0.738975681,1
0.780741901,1
0.324885937,1
0.812896251,1
1.217035828,1
1.695152411,1
0.566898965,1
1.560692379,1
0.759904458,1
0.891516309,1
0.563805755,1
2.684431874,1
0.350706268,1
1.150497859,1
0.926599755,1
1.611312242,1
1.57393068,1
0.763151148,1
1.309817826,1
1.674028869,1
0.605584271,1
1.249979562,1
2.089516651,1
1.878639125,1
1.868501057,1
1.933231234,1
1.921677462,1
1.54395817,1
0.421452655,1
0.984975759,1
0.782072959,1
0.343191977,1
1.331498411,1
2.142777638,1
0.719279715,1
0.463373687,1
1.021076406,1
0.887461749,1
2.162889827,1
0.461597111,1
0.721699753,1
0.820387943,1
1.49696559,1
2.51602141,1
0.983600209,1
1.350193284,1
1.514802199,1
0.573918223,1
1.142814559,1
0.615575195,1
1.215164135,1
0.720719223,1
1.837873464,1
0.373860941,1
1.134797245,1
0.49710193,1
1.525482731,1
1.106861695,1
1.925449847,1
0.956673569,1
0.737626869,1
1.398069876,1
1.40661854,1
0.935025134,1
0.665700106,1
1.629681845,1
0.294551775,1
1.547280308,1
1.336625516,1
1.42240022,1
2.70972782,1
0.686477902,1
0.83978695,1
1.652959494,1
0.640254979,1
1.208469353,1
0.102709524,1
0.296520919,1
2.011246334,1
0.798173053,1
0.730511122,1
0.443257054,1
0.574907084,1
0.238349645,1
0.455962437,1
0.635634535,1
0.898901495,1
1.285992146,1
0.366034797,1
1.027713343,1
1.45743188,1
1.006264705,1
1.007239944,1
0.137630927,1
0.622740469,1
0.234703143,1
0.898155305,1
0.722364519,1
0.553769665,1
0.470240595,1
0.463542027,1
0.494490642,1
0.926004323,1
0.843873042,1
0.870546619,1
0.873355836,1
0.400406255,1
1.690194024,1
0.393793488,1
1.75229683,1
1.27181902,1
1.136589058,1
0.889945715,1
0.280623217,1
0.97229587,1
0.17839723,1
1.702848256,1
1.418561415,1
0.570944141,1
1.466241588,1
0.68435969,1
0.907242662,1
0.858909778,1
1.422773604,1
1.056880071,1
0.518341177,1
0.896782039,1
0.53135994,1
0.848265576,1
0.59277613,1
0.535377621,0
0.50401656,0
0.240624722,0
0.849412033,0
0.445376084,0
0.555065325,0
0.057349745,0
1.257857045,0
0.652270625,0
0.508958547,0
0.519341761,0
0.524923913,0
0.283331324,0
0.671483699,0
0.752676751,0
0.815611621,0
0.78431344,0
0.92665427,0
0.699050084,0
0.271933838,0
0.63057218,0
0.710941319,0
0.603179165,0
0.614633945,0
0.816797395,0
0.595683987,0
0.775855482,0
0.84579979,0
0.495389431,0
1.295622899,0
0.560337729,0
0.557391349,0
1.127581732,0
0.679832185,0
0.29206682,0
0.544001672,0
0.122035967,0
0.581136535,0
0.483171114,0
0.480807938,0
0.739553529,0
0.55893431,0
0.325569844,0
0.825320773,0
0.507265226,0
0.643727004,0
1.131791552,0
0.739066998,0
1.136196198,0
0.691051283,0
0.834194159,0
1.102624313,0
0.756317389,0
0.349623604,0
0.618323527,0
0.535174303,0
0.897773665,0
1.220396478,0
1.183667877,0
1.151624203,0
0.631829556,0
0.693663039,0
1.837096892,0
0.631859805,0
0.560779278,0
0.885203831,0
0.805682205,0
0.345349749,0
0.649645188,0
1.166218592,0
0.509454867,0
0.523736959,0
0.416479088,0
0.536332799,0
1.159968535,0
